venta_id,fecha,año,mes,trimestre,modelo,marca,tipo,segmento,precio_lista,precio_venta,descuento_pct,descuento_monto,precio_final,accesorios_monto,precio_total,costo_vehiculo,margen_bruto,margen_pct,ganancia_neta,vendedor,zona,senioridad,comision_vendedor,financiacion,origen_lead,permuta,valor_permuta,num_accesorios,dias_cierre,test_drive,rating_cliente
VTA-03847,2022-01-06,2022,1,Q1,Ford Ranger,Ford,Pickup,Premium,24000000,23950000,2,479000,23471000,259871,23730871,17200000,6271000,26.7,6374948,Lucía Fernández,Norte,Semi-Senior,616114,Contado,Showroom,1,8550000,1,7,1,5
VTA-03651,2022-01-06,2022,1,Q1,Volkswagen T-Cross,Volkswagen,SUV,Intermedio,11500000,11250000,5,562500,10687500,0,10687500,8200000,2487500,23.3,2487500,Diego Romero,Centro,Junior,235125,Contado,Instagram,0,0,0,5,1,3
VTA-02363,2022-01-06,2022,1,Q1,Peugeot 2008,Peugeot,SUV,Intermedio,11000000,11100000,1,111000,10989000,0,10989000,7900000,3089000,28.1,3089000,Valentina Cruz,Este,Senior,391758,Cuotas 12x,Instagram,1,2850000,0,1,1,3
VTA-03716,2022-01-07,2022,1,Q1,Renault Kwid,Renault,Hatchback,Económico,3500000,3450000,2,69000,3381000,0,3381000,2600000,781000,23.1,781000,Sofía Herrera,Sur,Senior,116644,Contado,Showroom,0,0,0,8,1,4
VTA-00771,2022-01-07,2022,1,Q1,Renault Duster,Renault,SUV,Intermedio,9800000,9900000,0,0,9900000,0,9900000,7100000,2800000,28.3,2800000,Sofía Herrera,Sur,Senior,341550,Cuotas 12x,Web,0,0,0,1,1,4
VTA-00183,2022-01-08,2022,1,Q1,Volkswagen Gol,Volkswagen,Hatchback,Económico,4200000,3950000,3,118500,3831500,0,3831500,3100000,731500,19.1,731500,Sofía Herrera,Sur,Senior,132187,Contado,Showroom,1,750000,0,7,0,5
VTA-03898,2022-01-08,2022,1,Q1,Peugeot 208,Peugeot,Hatchback,Intermedio,8200000,7900000,0,0,7900000,258226,8158226,5900000,2000000,25.3,2103290,Sofía Herrera,Sur,Senior,272550,Cuotas 12x,Showroom,0,0,1,2,0,3
VTA-03791,2022-01-08,2022,1,Q1,Volkswagen Amarok,Volkswagen,Pickup,Premium,22000000,21500000,3,645000,20855000,484207,21339207,15800000,5055000,24.2,5248682,Joaquín Torres,Sur,Semi-Senior,569342,Cuotas 24x,Showroom,1,3500000,2,3,1,3
VTA-03445,2022-01-08,2022,1,Q1,Volkswagen Polo,Volkswagen,Hatchback,Intermedio,7800000,7900000,1,79000,7821000,0,7821000,5600000,2221000,28.4,2221000,Martín López,Oeste,Junior,156420,Cuotas 36x,Referido,0,0,0,9,1,4
VTA-01780,2022-01-08,2022,1,Q1,Chevrolet Onix,Chevrolet,Hatchback,Económico,5800000,5500000,2,110000,5390000,0,5390000,4200000,1190000,22.1,1190000,Martín López,Oeste,Junior,107800,Cuotas 36x,Showroom,0,0,0,1,0,5
VTA-03236,2022-01-08,2022,1,Q1,Toyota SW4,Toyota,SUV,Luxury,42000000,42000000,0,0,42000000,146060,42146060,29500000,12500000,29.8,12558424,Diego Romero,Centro,Junior,924000,Contado,Referido,0,0,1,6,0,5
VTA-03453,2022-01-08,2022,1,Q1,Renault Duster,Renault,SUV,Intermedio,9800000,10100000,2,202000,9898000,0,9898000,7100000,2798000,28.3,2798000,Sofía Herrera,Sur,Senior,341481,Leasing,Web,0,0,0,4,0,4
VTA-03993,2022-01-09,2022,1,Q1,Volkswagen Vento,Volkswagen,Sedán,Intermedio,9500000,9800000,3,294000,9506000,0,9506000,6900000,2606000,27.4,2606000,Diego Romero,Centro,Junior,209132,Cuotas 36x,Referido,0,0,0,19,1,5
VTA-00917,2022-01-09,2022,1,Q1,Peugeot 208,Peugeot,Hatchback,Intermedio,8200000,8050000,5,402500,7647500,86367,7733867,5900000,1747500,22.9,1782046,Diego Romero,Centro,Junior,168245,Cuotas 36x,Llamada entrante,0,0,1,11,1,4
VTA-00484,2022-01-09,2022,1,Q1,Volkswagen Amarok,Volkswagen,Pickup,Premium,22000000,21200000,4,848000,20352000,281933,20633933,15800000,4552000,22.4,4664773,Diego Romero,Centro,Junior,447744,Contado,Web,1,5300000,1,41,1,5
VTA-02696,2022-01-10,2022,1,Q1,Volkswagen Amarok,Volkswagen,Pickup,Premium,22000000,20750000,2,415000,20335000,147660,20482660,15800000,4535000,22.3,4594064,Paula Gómez,Centro,Senior,678172,Contado,Web,1,7400000,2,2,1,4
VTA-00147,2022-01-10,2022,1,Q1,Toyota Hilux,Toyota,Pickup,Premium,28000000,26950000,1,269500,26680500,0,26680500,19800000,6880500,25.8,6880500,Paula Gómez,Centro,Senior,889795,Cuotas 36x,Showroom,0,0,0,8,1,5
VTA-03708,2022-01-10,2022,1,Q1,Toyota Hilux,Toyota,Pickup,Premium,28000000,28600000,2,572000,28028000,0,28028000,19800000,8228000,29.4,8228000,Carlos Méndez,Norte,Senior,902502,Contado,Web,1,5400000,0,11,1,4
VTA-01407,2022-01-10,2022,1,Q1,Toyota SW4,Toyota,SUV,Luxury,42000000,41950000,4,1678000,40272000,275111,40547111,29500000,10772000,26.7,10882044,Carlos Méndez,Norte,Senior,1296758,Contado,WhatsApp,0,0,1,2,1,5
VTA-02154,2022-01-10,2022,1,Q1,Chevrolet Tracker,Chevrolet,SUV,Intermedio,12500000,12650000,1,126500,12523500,0,12523500,9000000,3523500,28.1,3523500,Valentina Cruz,Este,Senior,446463,Cuotas 24x,Web,0,0,0,27,1,4
VTA-02138,2022-01-10,2022,1,Q1,Toyota Hilux,Toyota,Pickup,Premium,28000000,28800000,3,864000,27936000,288650,28224650,19800000,8136000,29.1,8251460,Diego Romero,Centro,Junior,614592,Cuotas 36x,Referido,1,6550000,1,30,1,3
VTA-00749,2022-01-10,2022,1,Q1,Ford Ka,Ford,Hatchback,Económico,4000000,3850000,0,0,3850000,0,3850000,2950000,900000,23.4,900000,Martín López,Oeste,Junior,77000,Leasing,Instagram,0,0,0,4,1,4
VTA-01781,2022-01-11,2022,1,Q1,Jeep Compass,Jeep,SUV,Luxury,25000000,24800000,3,744000,24056000,0,24056000,17800000,6256000,26.0,6256000,Sofía Herrera,Sur,Senior,829932,Contado,Referido,0,0,0,5,0,5
VTA-02034,2022-01-11,2022,1,Q1,Ford Ranger,Ford,Pickup,Premium,24000000,24600000,0,0,24600000,0,24600000,17200000,7400000,30.1,7400000,Paula Gómez,Centro,Senior,820410,Cuotas 36x,WhatsApp,0,0,0,1,1,5
VTA-03073,2022-01-12,2022,1,Q1,Ford Ka,Ford,Hatchback,Económico,4000000,3850000,3,115500,3734500,731265,4465765,2950000,784500,21.0,1077006,Joaquín Torres,Sur,Semi-Senior,101952,Contado,WhatsApp,1,1550000,3,4,1,4
VTA-01185,2022-01-12,2022,1,Q1,Ford Territory,Ford,SUV,Premium,18000000,17600000,2,352000,17248000,0,17248000,12900000,4348000,25.2,4348000,Valentina Cruz,Este,Senior,614891,Cuotas 12x,Llamada entrante,0,0,0,30,1,4
VTA-02453,2022-01-12,2022,1,Q1,Volkswagen Amarok,Volkswagen,Pickup,Premium,22000000,22450000,0,0,22450000,144114,22594114,15800000,6650000,29.6,6707645,Diego Romero,Centro,Junior,493900,Cuotas 12x,Showroom,0,0,1,9,1,5
VTA-02078,2022-01-12,2022,1,Q1,Toyota Corolla,Toyota,Sedán,Intermedio,14500000,14150000,3,424500,13725500,0,13725500,10200000,3525500,25.7,3525500,Carlos Méndez,Norte,Senior,441961,Cuotas 24x,Showroom,0,0,0,11,0,1
VTA-01378,2022-01-12,2022,1,Q1,Toyota Yaris,Toyota,Hatchback,Intermedio,8500000,8500000,0,0,8500000,0,8500000,6100000,2400000,28.2,2400000,Lucía Fernández,Norte,Semi-Senior,223125,Contado,Referido,0,0,0,3,1,4
VTA-02001,2022-01-13,2022,1,Q1,Renault Kwid,Renault,Hatchback,Económico,3500000,3500000,4,140000,3360000,0,3360000,2600000,760000,22.6,760000,Joaquín Torres,Sur,Semi-Senior,91728,Contado,Instagram,0,0,0,5,0,5
VTA-03977,2022-01-14,2022,1,Q1,Renault Kwid,Renault,Hatchback,Económico,3500000,3550000,0,0,3550000,72229,3622229,2600000,950000,26.8,978891,Carlos Méndez,Norte,Senior,114310,Cuotas 36x,Web,0,0,1,3,1,5
VTA-01427,2022-01-14,2022,1,Q1,Renault Oroch,Renault,Pickup,Intermedio,13000000,12650000,1,126500,12523500,0,12523500,9400000,3123500,24.9,3123500,Martín López,Oeste,Junior,250470,Leasing,WhatsApp,0,0,0,2,0,4
VTA-02114,2022-01-14,2022,1,Q1,Mercedes-Benz GLA,Mercedes-Benz,SUV,Luxury,52000000,52550000,1,525500,52024500,0,52024500,36400000,15624500,30.0,15624500,Sofía Herrera,Sur,Senior,1794845,Contado,WhatsApp,1,13000000,0,8,1,4
VTA-01058,2022-01-14,2022,1,Q1,Renault Kwid,Renault,Hatchback,Económico,3500000,3500000,2,70000,3430000,0,3430000,2600000,830000,24.2,830000,Paula Gómez,Centro,Senior,114390,Cuotas 24x,Instagram,1,750000,0,2,1,4
VTA-02402,2022-01-15,2022,1,Q1,Chevrolet S10,Chevrolet,Pickup,Premium,23000000,23900000,3,717000,23183000,0,23183000,16500000,6683000,28.8,6683000,Sofía Herrera,Sur,Senior,799813,Cuotas 24x,Instagram,0,0,0,13,1,4
VTA-00172,2022-01-15,2022,1,Q1,BMW Serie 3,BMW,Sedán,Luxury,48000000,45100000,4,1804000,43296000,0,43296000,33600000,9696000,22.4,9696000,Valentina Cruz,Este,Senior,1543502,Contado,Showroom,0,0,0,39,1,5
VTA-02121,2022-01-16,2022,1,Q1,Honda Civic,Honda,Sedán,Premium,16000000,15650000,2,313000,15337000,0,15337000,11400000,3937000,25.7,3937000,Diego Romero,Centro,Junior,337414,Cuotas 36x,Web,1,5900000,0,17,0,4
VTA-00404,2022-01-16,2022,1,Q1,Volkswagen Gol,Volkswagen,Hatchback,Económico,4200000,4200000,0,0,4200000,294868,4494868,3100000,1100000,26.2,1217947,Carlos Méndez,Norte,Senior,135240,Cuotas 24x,Web,1,1700000,1,4,1,4
VTA-02625,2022-01-17,2022,1,Q1,Toyota Corolla,Toyota,Sedán,Intermedio,14500000,13850000,1,138500,13711500,194528,13906028,10200000,3511500,25.6,3589311,Joaquín Torres,Sur,Semi-Senior,374324,Leasing,WhatsApp,1,2050000,1,24,0,4
VTA-01010,2022-01-17,2022,1,Q1,Renault Oroch,Renault,Pickup,Intermedio,13000000,12250000,4,490000,11760000,0,11760000,9400000,2360000,20.1,2360000,Valentina Cruz,Este,Senior,419244,Contado,WhatsApp,1,2000000,0,14,0,5
VTA-01310,2022-01-17,2022,1,Q1,Peugeot 208,Peugeot,Hatchback,Intermedio,8200000,7900000,5,395000,7505000,0,7505000,5900000,1605000,21.4,1605000,Sofía Herrera,Sur,Senior,258922,Leasing,WhatsApp,1,2050000,0,7,1,4
VTA-03093,2022-01-17,2022,1,Q1,Renault Duster,Renault,SUV,Intermedio,9800000,9900000,2,198000,9702000,0,9702000,7100000,2602000,26.8,2602000,Carlos Méndez,Norte,Senior,312404,Contado,Showroom,0,0,0,22,0,2
VTA-02897,2022-01-18,2022,1,Q1,Volkswagen T-Cross,Volkswagen,SUV,Intermedio,11500000,11850000,0,0,11850000,0,11850000,8200000,3650000,30.8,3650000,Martín López,Oeste,Junior,237000,Cuotas 24x,Showroom,1,2700000,0,3,1,5
VTA-00389,2022-01-19,2022,1,Q1,Jeep Renegade,Jeep,SUV,Premium,17500000,17450000,0,0,17450000,622491,18072491,12500000,4950000,28.4,5198996,Joaquín Torres,Sur,Semi-Senior,476385,Contado,Llamada entrante,0,0,3,12,1,4
VTA-01522,2022-01-20,2022,1,Q1,Volkswagen Amarok,Volkswagen,Pickup,Premium,22000000,22050000,0,0,22050000,0,22050000,15800000,6250000,28.3,6250000,Paula Gómez,Centro,Senior,735368,Cuotas 12x,Instagram,1,9500000,0,8,0,4
VTA-00529,2022-01-20,2022,1,Q1,Honda HR-V,Honda,SUV,Premium,15500000,15650000,1,156500,15493500,234530,15728030,11000000,4493500,29.0,4587312,Carlos Méndez,Norte,Senior,498891,Cuotas 36x,Showroom,0,0,1,14,0,4
VTA-01252,2022-01-20,2022,1,Q1,Peugeot 2008,Peugeot,SUV,Intermedio,11000000,10450000,5,522500,9927500,0,9927500,7900000,2027500,20.4,2027500,Martín López,Oeste,Junior,198550,Cuotas 12x,Web,1,4450000,0,2,0,5
VTA-02710,2022-01-20,2022,1,Q1,Toyota Corolla,Toyota,Sedán,Intermedio,14500000,13850000,0,0,13850000,294732,14144732,10200000,3650000,26.4,3767892,Valentina Cruz,Este,Senior,493752,Contado,Referido,1,5300000,1,24,1,5
VTA-03885,2022-01-20,2022,1,Q1,Chevrolet S10,Chevrolet,Pickup,Premium,23000000,23850000,0,0,23850000,0,23850000,16500000,7350000,30.8,7350000,Paula Gómez,Centro,Senior,795397,Cuotas 24x,Referido,0,0,0,14,1,3
VTA-00209,2022-01-20,2022,1,Q1,Volkswagen T-Cross,Volkswagen,SUV,Intermedio,11500000,11550000,3,346500,11203500,0,11203500,8200000,3003500,26.8,3003500,Sofía Herrera,Sur,Senior,386521,Cuotas 24x,Web,0,0,0,6,0,3
VTA-00469,2022-01-21,2022,1,Q1,Renault Duster,Renault,SUV,Intermedio,9800000,9350000,2,187000,9163000,0,9163000,7100000,2063000,22.5,2063000,Sofía Herrera,Sur,Senior,316124,Contado,Referido,0,0,0,4,1,4
VTA-01968,2022-01-21,2022,1,Q1,Peugeot 208,Peugeot,Hatchback,Intermedio,8200000,8000000,5,400000,7600000,298818,7898818,5900000,1700000,22.4,1819527,Carlos Méndez,Norte,Senior,244720,Cuotas 12x,Referido,1,1450000,2,1,1,4
VTA-02231,2022-01-22,2022,1,Q1,Volkswagen T-Cross,Volkswagen,SUV,Intermedio,11500000,11700000,1,117000,11583000,0,11583000,8200000,3383000,29.2,3383000,Lucía Fernández,Norte,Semi-Senior,304054,Cuotas 24x,Web,0,0,0,5,0,4
VTA-00077,2022-01-22,2022,1,Q1,Volkswagen Vento,Volkswagen,Sedán,Intermedio,9500000,9000000,0,0,9000000,144081,9144081,6900000,2100000,23.3,2157632,Diego Romero,Centro,Junior,198000,Contado,Web,1,1550000,1,3,1,5
VTA-03579,2022-01-22,2022,1,Q1,Chevrolet S10,Chevrolet,Pickup,Premium,23000000,21800000,3,654000,21146000,277395,21423395,16500000,4646000,22.0,4756958,Valentina Cruz,Este,Senior,753855,Contado,Referido,1,7050000,3,1,1,4
VTA-03738,2022-01-23,2022,1,Q1,Ford Ranger,Ford,Pickup,Premium,24000000,22800000,2,456000,22344000,0,22344000,17200000,5144000,23.0,5144000,Paula Gómez,Centro,Senior,745172,Cuotas 36x,Llamada entrante,0,0,0,4,0,5
VTA-00649,2022-01-23,2022,1,Q1,Renault Kwid,Renault,Hatchback,Económico,3500000,3500000,0,0,3500000,0,3500000,2600000,900000,25.7,900000,Paula Gómez,Centro,Senior,116725,Contado,Instagram,0,0,0,6,1,4
VTA-03208,2022-01-23,2022,1,Q1,Renault Kwid,Renault,Hatchback,Económico,3500000,3600000,0,0,3600000,585070,4185070,2600000,1000000,27.8,1234028,Joaquín Torres,Sur,Semi-Senior,98280,Plan de ahorro,Web,0,0,2,2,1,4
VTA-01662,2022-01-24,2022,1,Q1,Ford EcoSport,Ford,SUV,Intermedio,10500000,10700000,1,107000,10593000,0,10593000,7600000,2993000,28.3,2993000,Carlos Méndez,Norte,Senior,341095,Contado,Showroom,1,3350000,0,22,0,5
VTA-02889,2022-01-24,2022,1,Q1,Renault Sandero,Renault,Hatchback,Económico,4800000,4900000,4,196000,4704000,643095,5347095,3500000,1204000,25.6,1461238,Diego Romero,Centro,Junior,103488,Cuotas 12x,Llamada entrante,0,0,3,4,1,5
VTA-02563,2022-01-24,2022,1,Q1,Chevrolet S10,Chevrolet,Pickup,Premium,23000000,23100000,0,0,23100000,140190,23240190,16500000,6600000,28.6,6656076,Sofía Herrera,Sur,Senior,796950,Contado,Web,1,7150000,1,45,1,4
VTA-02856,2022-01-25,2022,1,Q1,Renault Kwid,Renault,Hatchback,Económico,3500000,3350000,0,0,3350000,471913,3821913,2600000,750000,22.4,938765,Lucía Fernández,Norte,Semi-Senior,87938,Contado,Web,1,1100000,2,9,0,4
VTA-01738,2022-01-25,2022,1,Q1,Volkswagen Vento,Volkswagen,Sedán,Intermedio,9500000,9000000,0,0,9000000,205924,9205924,6900000,2100000,23.3,2182369,Joaquín Torres,Sur,Semi-Senior,245700,Cuotas 24x,Instagram,1,3000000,1,2,1,5
VTA-00713,2022-01-25,2022,1,Q1,Volkswagen T-Cross,Volkswagen,SUV,Intermedio,11500000,11200000,0,0,11200000,0,11200000,8200000,3000000,26.8,3000000,Carlos Méndez,Norte,Senior,360640,Cuotas 36x,Referido,0,0,0,1,1,3
VTA-03113,2022-01-25,2022,1,Q1,Toyota Hilux,Toyota,Pickup,Premium,28000000,26950000,1,269500,26680500,216676,26897176,19800000,6880500,25.8,6967170,Diego Romero,Centro,Junior,586971,Cuotas 12x,WhatsApp,0,0,1,11,1,4
VTA-03641,2022-01-25,2022,1,Q1,Renault Oroch,Renault,Pickup,Intermedio,13000000,13450000,2,269000,13181000,424555,13605555,9400000,3781000,28.7,3950822,Joaquín Torres,Sur,Semi-Senior,359841,Contado,Instagram,1,4600000,2,15,1,5
VTA-00479,2022-01-26,2022,1,Q1,Chevrolet S10,Chevrolet,Pickup,Premium,23000000,23100000,0,0,23100000,284814,23384814,16500000,6600000,28.6,6713925,Martín López,Oeste,Junior,462000,Cuotas 12x,Showroom,0,0,2,8,1,4
VTA-00456,2022-01-26,2022,1,Q1,Renault Duster,Renault,SUV,Intermedio,9800000,9650000,3,289500,9360500,0,9360500,7100000,2260500,24.1,2260500,Diego Romero,Centro,Junior,205931,Contado,Showroom,0,0,0,1,0,5
VTA-03262,2022-01-26,2022,1,Q1,Jeep Renegade,Jeep,SUV,Premium,17500000,17800000,0,0,17800000,334678,18134678,12500000,5300000,29.8,5433871,Lucía Fernández,Norte,Semi-Senior,467250,Contado,Referido,0,0,2,7,1,4
VTA-01024,2022-01-26,2022,1,Q1,Volkswagen Gol,Volkswagen,Hatchback,Económico,4200000,4300000,0,0,4300000,255794,4555794,3100000,1200000,27.9,1302317,Diego Romero,Centro,Junior,94600,Contado,Showroom,0,0,1,6,1,3
VTA-01054,2022-01-26,2022,1,Q1,Volkswagen Gol,Volkswagen,Hatchback,Económico,4200000,4300000,0,0,4300000,0,4300000,3100000,1200000,27.9,1200000,Diego Romero,Centro,Junior,94600,Cuotas 24x,Showroom,0,0,0,2,0,5
VTA-03560,2022-01-26,2022,1,Q1,Volkswagen Amarok,Volkswagen,Pickup,Premium,22000000,21350000,3,640500,20709500,0,20709500,15800000,4909500,23.7,4909500,Valentina Cruz,Este,Senior,738294,Leasing,Web,0,0,0,5,1,5
VTA-01312,2022-01-26,2022,1,Q1,Volkswagen Vento,Volkswagen,Sedán,Intermedio,9500000,9150000,2,183000,8967000,169111,9136111,6900000,2067000,23.1,2134644,Martín López,Oeste,Junior,179340,Contado,Showroom,0,0,1,22,1,3
VTA-00789,2022-01-27,2022,1,Q1,Renault Kwid,Renault,Hatchback,Económico,3500000,3300000,2,66000,3234000,90555,3324555,2600000,634000,19.6,670222,Lucía Fernández,Norte,Semi-Senior,84892,Cuotas 12x,Web,0,0,1,1,0,5
VTA-03788,2022-01-27,2022,1,Q1,Honda HR-V,Honda,SUV,Premium,15500000,15650000,3,469500,15180500,417972,15598472,11000000,4180500,27.5,4347688,Joaquín Torres,Sur,Semi-Senior,414428,Cuotas 24x,Llamada entrante,1,3800000,2,1,1,5
VTA-03814,2022-01-27,2022,1,Q1,Jeep Renegade,Jeep,SUV,Premium,17500000,18200000,2,364000,17836000,141145,17977145,12500000,5336000,29.9,5392458,Martín López,Oeste,Junior,356720,Cuotas 24x,Referido,1,5400000,1,5,0,5
VTA-02789,2022-01-27,2022,1,Q1,Volkswagen Vento,Volkswagen,Sedán,Intermedio,9500000,9800000,0,0,9800000,175076,9975076,6900000,2900000,29.6,2970030,Paula Gómez,Centro,Senior,326830,Contado,Referido,1,3300000,2,19,1,3
VTA-03321,2022-01-28,2022,1,Q1,Volkswagen T-Cross,Volkswagen,SUV,Intermedio,11500000,11700000,2,234000,11466000,229791,11695791,8200000,3266000,28.5,3357916,Paula Gómez,Centro,Senior,382391,Contado,WhatsApp,0,0,1,3,1,5
VTA-02758,2022-01-28,2022,1,Q1,Ford EcoSport,Ford,SUV,Intermedio,10500000,10750000,2,215000,10535000,0,10535000,7600000,2935000,27.9,2935000,Sofía Herrera,Sur,Senior,363458,Cuotas 12x,Showroom,1,3300000,0,3,1,5
VTA-00922,2022-01-28,2022,1,Q1,Ford Territory,Ford,SUV,Premium,18000000,18050000,1,180500,17869500,61923,17931423,12900000,4969500,27.8,4994269,Diego Romero,Centro,Junior,393129,Cuotas 12x,Referido,1,6450000,1,13,1,3
VTA-02790,2022-01-28,2022,1,Q1,Ford Territory,Ford,SUV,Premium,18000000,17800000,2,356000,17444000,0,17444000,12900000,4544000,26.0,4544000,Joaquín Torres,Sur,Semi-Senior,476221,Cuotas 24x,Web,0,0,0,2,1,5
VTA-00703,2022-01-28,2022,1,Q1,Peugeot 208,Peugeot,Hatchback,Intermedio,8200000,7750000,0,0,7750000,231975,7981975,5900000,1850000,23.9,1942790,Diego Romero,Centro,Junior,170500,Contado,Showroom,1,3300000,1,4,1,3
VTA-00332,2022-01-29,2022,1,Q1,Chevrolet Onix,Chevrolet,Hatchback,Económico,5800000,5750000,0,0,5750000,214471,5964471,4200000,1550000,27.0,1635788,Joaquín Torres,Sur,Semi-Senior,156975,Contado,Web,0,0,1,1,1,5
VTA-01391,2022-01-29,2022,1,Q1,Peugeot 208,Peugeot,Hatchback,Intermedio,8200000,8050000,5,402500,7647500,0,7647500,5900000,1747500,22.9,1747500,Diego Romero,Centro,Junior,168245,Leasing,Llamada entrante,1,1200000,0,20,1,5
VTA-02697,2022-01-30,2022,1,Q1,Ford Territory,Ford,SUV,Premium,18000000,17050000,2,341000,16709000,70748,16779748,12900000,3809000,22.8,3837299,Martín López,Oeste,Junior,334180,Cuotas 36x,Llamada entrante,0,0,1,8,0,1
VTA-01557,2022-01-31,2022,1,Q1,Peugeot 2008,Peugeot,SUV,Intermedio,11000000,10700000,1,107000,10593000,85295,10678295,7900000,2693000,25.4,2727118,Carlos Méndez,Norte,Senior,341095,Contado,Showroom,0,0,1,5,0,2
VTA-02771,2022-01-31,2022,1,Q1,Chevrolet Tracker,Chevrolet,SUV,Intermedio,12500000,12600000,0,0,12600000,0,12600000,9000000,3600000,28.6,3600000,Paula Gómez,Centro,Senior,420210,Cuotas 36x,Instagram,1,4800000,0,4,1,5
VTA-03061,2022-01-31,2022,1,Q1,Renault Oroch,Renault,Pickup,Intermedio,13000000,12250000,4,490000,11760000,176196,11936196,9400000,2360000,20.1,2430478,Diego Romero,Centro,Junior,258720,Contado,Showroom,0,0,1,4,0,4
VTA-02704,2022-01-31,2022,1,Q1,BMW Serie 3,BMW,Sedán,Luxury,48000000,46800000,2,936000,45864000,299276,46163276,33600000,12264000,26.7,12383710,Lucía Fernández,Norte,Semi-Senior,1203930,Cuotas 12x,Showroom,1,15150000,1,24,1,4
VTA-03441,2022-01-31,2022,1,Q1,Renault Oroch,Renault,Pickup,Intermedio,13000000,12500000,0,0,12500000,272855,12772855,9400000,3100000,24.8,3209142,Sofía Herrera,Sur,Senior,431250,Leasing,Web,0,0,1,5,0,5
VTA-02398,2022-02-01,2022,2,Q1,Renault Kwid,Renault,Hatchback,Económico,3500000,3500000,2,70000,3430000,411231,3841231,2600000,830000,24.2,994492,Martín López,Oeste,Junior,68600,Cuotas 24x,Showroom,0,0,2,3,1,4
